N,P,K,temperature,humidity,ph,rainfall,label
14,23,40,21.78,92.74,6.64,114.73,Pomegranate
16,16,36,20.73,92.99,7.05,112.3,Pomegranate
8,24,34,24.05,89.0,6.75,100.84,Pomegranate
26,11,37,19.3,84.84,6.45,116.53,Pomegranate
35,19,43,22.38,91.6,6.23,108.48,Pomegranate
22,16,39,21.65,92.58,5.87,107.24,Pomegranate
30,24,44,21.86,91.06,6.9,115.3,Pomegranate
7,12,43,21.11,88.08,5.77,104.72,Pomegranate
10,29,39,21.66,91.86,6.88,112.23,Pomegranate
25,15,39,23.72,88.52,6.4,109.49,Pomegranate
109,67,52,26.98,82.88,6.13,123.89,Banana
116,92,54,27.92,80.51,6.16,113.38,Banana
96,85,49,25.86,84.92,5.92,129.18,Banana
80,77,50,29.45,81.8,5.99,91.07,Banana
86,84,45,26.44,82.15,5.61,123.86,Banana
114,69,47,23.29,77.66,6.13,99.63,Banana
105,69,52,26.4,80.44,5.87,89.34,Banana
86,89,51,29.29,81.54,5.94,83.89,Banana
96,81,55,28.64,85.78,6.08,96.06,Banana
101,83,47,26.71,79.68,6.38,79.63,Banana
114,74,45,29.52,82.96,6.28,114.21,Banana
124,86,49,28.02,84.75,5.67,96.78,Banana
96,65,50,24.0,80.59,6.16,98.88,Banana
120,70,53,28.62,74.39,6.71,103.84,Banana
89,70,49,27.17,80.76,5.81,112.2,Banana
95,66,49,23.14,81.64,5.61,106.56,Banana
115,74,53,26.62,86.54,5.79,94.51,Banana
108,78,47,26.54,80.24,6.3,81.39,Banana
100,86,50,29.76,80.14,5.84,111.71,Banana
101,78,51,26.23,78.26,5.74,120.84,Banana
61,85,50,24.37,81.48,6.04,111.68,Banana
68,92,47,28.64,82.99,5.64,112.53,Banana
95,65,53,26.0,77.41,5.78,107.87,Banana
99,86,45,26.06,79.99,6.47,103.23,Banana
113,82,48,26.96,79.81,6.08,121.1,Banana
104,91,47,26.65,77.86,5.99,100.29,Banana
108,74,50,28.64,73.17,6.54,101.2,Banana
75,83,50,27.25,83.87,6.12,108.17,Banana
105,81,55,24.74,80.89,5.92,114.36,Banana
89,68,50,27.91,85.61,5.52,118.46,Banana
128,78,46,26.67,80.45,6.07,97.5,Banana
118,73,44,29.39,72.44,5.84,142.01,Banana
99,73,49,27.31,80.96,6.1,92.13,Banana
120,83,52,26.27,84.9,5.82,107.93,Banana
88,74,52,26.6,77.41,5.71,112.99,Banana
92,81,50,23.95,75.25,6.0,95.76,Banana
112,89,52,30.68,80.11,6.09,97.59,Banana
129,97,50,28.1,85.16,5.86,96.72,Banana
110,82,50,25.9,74.39,5.97,115.46,Banana
97,93,47,25.5,80.16,5.88,113.84,Banana
90,92,55,27.33,84.77,5.58,117.5,Banana
112,88,49,22.08,78.15,5.71,92.86,Banana
101,78,47,25.49,77.9,6.24,96.67,Banana
93,78,51,28.22,69.74,6.21,121.84,Banana
87,74,48,26.04,81.18,5.32,91.18,Banana
118,74,53,28.04,74.07,6.09,103.19,Banana
94,83,51,28.67,84.52,6.02,88.09,Banana
94,105,52,31.66,85.28,5.97,108.22,Banana
99,68,50,29.58,78.3,6.02,114.82,Banana
89,78,46,25.92,75.89,5.63,121.63,Banana
89,83,48,29.52,84.99,6.16,108.27,Banana
97,72,55,26.03,82.72,6.22,97.94,Banana
112,88,55,26.56,75.9,5.75,107.11,Banana
100,78,44,28.25,87.3,6.04,111.91,Banana
106,85,52,28.11,79.31,5.66,101.61,Banana
103,79,50,28.19,83.32,6.28,105.54,Banana
84,79,50,24.1,85.26,5.94,109.18,Banana
116,76,51,27.2,79.76,5.67,124.59,Banana
95,87,44,29.52,84.08,5.93,101.88,Banana
104,100,44,28.81,77.21,5.89,101.63,Banana
94,81,46,29.25,74.12,6.06,100.68,Banana
85,83,45,27.47,75.42,6.04,93.51,Banana
94,84,47,27.3,75.1,6.09,125.78,Banana
133,82,52,24.19,85.66,6.13,98.79,Banana
114,79,48,28.26,76.68,6.21,91.93,Banana
87,74,52,26.29,75.68,5.72,104.22,Banana
85,72,56,25.85,79.27,5.79,99.54,Banana
107,89,49,25.17,84.86,5.87,125.36,Banana
73,83,55,26.76,79.61,5.99,97.89,Banana
96,79,48,29.61,82.01,5.98,114.3,Banana
96,75,48,27.4,76.69,5.75,98.41,Banana
125,59,49,30.51,80.83,6.13,105.8,Banana
91,64,50,26.0,77.6,5.75,125.54,Banana
128,83,48,25.28,82.04,6.43,101.63,Banana
71,87,52,24.55,81.02,6.04,103.72,Banana
90,90,48,24.73,73.23,6.28,112.0,Banana
101,78,48,25.46,78.89,5.26,95.77,Banana
96,86,49,28.83,85.12,6.22,110.25,Banana
100,74,52,30.42,81.6,6.48,86.29,Banana
86,88,50,29.76,80.35,5.64,102.04,Banana
81,72,52,28.97,81.67,5.38,100.3,Banana
85,91,48,25.45,80.5,5.71,122.4,Banana
91,70,43,27.34,78.43,5.47,118.87,Banana
108,81,54,28.59,77.52,5.59,114.42,Banana
104,83,47,28.49,77.76,5.87,121.96,Banana
92,69,46,29.19,81.29,5.86,98.49,Banana
105,75,50,26.08,77.26,5.71,100.1,Banana
99,83,38,25.95,79.03,6.35,91.64,Banana
101,93,46,28.11,77.59,5.75,94.96,Banana
91,103,52,29.38,82.12,5.42,109.34,Banana
112,75,52,28.67,86.88,5.77,91.43,Banana
95,93,44,23.68,80.71,5.77,104.69,Banana
111,77,44,31.08,76.91,5.58,117.84,Banana
95,81,51,29.35,79.23,6.36,78.97,Banana
109,75,54,27.66,78.04,6.1,115.32,Banana
107,73,48,27.39,80.26,6.12,80.42,Banana
104,79,47,26.06,79.65,4.82,96.18,Banana
89,86,47,27.01,85.8,6.2,115.43,Banana
94,86,49,27.05,81.83,5.72,122.52,Banana
98,86,54,29.26,75.47,6.03,114.81,Banana
25,19,28,34.18,47.91,5.56,104.16,Mango
19,21,27,32.2,46.2,5.6,96.7,Mango
27,31,27,34.74,49.3,4.81,93.67,Mango
28,28,30,36.11,45.91,4.77,85.0,Mango
22,28,34,31.93,48.99,5.8,95.41,Mango
9,45,31,31.83,52.05,6.37,93.86,Mango
16,31,31,28.77,54.46,6.03,99.08,Mango
28,27,30,33.63,48.03,5.84,95.45,Mango
14,43,25,27.31,54.14,6.37,88.54,Mango
23,37,29,39.0,45.03,6.36,101.7,Mango
25,25,29,32.53,52.65,6.28,100.94,Mango
13,25,27,30.04,53.25,5.89,110.34,Mango
21,27,30,29.29,50.03,6.7,95.38,Mango
15,20,28,31.42,53.78,4.73,92.78,Mango
20,14,27,29.16,47.81,5.95,93.74,Mango
16,29,35,36.12,44.43,6.26,93.63,Mango
20,24,30,31.65,48.46,5.08,92.01,Mango
21,31,32,29.72,51.05,6.57,101.69,Mango
19,25,30,27.75,49.62,6.4,98.55,Mango
18,28,27,33.31,49.97,5.58,92.53,Mango
19,23,31,30.01,54.98,6.97,89.35,Mango
20,22,29,37.21,49.28,6.09,97.95,Mango
13,21,26,28.54,41.65,6.24,107.03,Mango
20,17,28,29.82,47.15,6.49,99.56,Mango
13,32,34,36.91,58.8,5.08,111.65,Mango
17,22,30,29.45,51.4,4.74,93.27,Mango
27,26,30,32.63,53.71,4.48,98.21,Mango
18,28,33,27.62,47.16,4.25,91.41,Mango
27,26,25,29.74,45.74,4.9,97.03,Mango
12,34,29,31.46,49.36,6.42,99.4,Mango
22,30,29,32.83,49.19,5.8,93.05,Mango
17,22,31,35.13,53.71,4.79,102.44,Mango
18,31,27,31.63,51.14,4.61,98.35,Mango
28,25,34,30.63,52.75,4.03,109.21,Mango
28,25,24,32.06,45.87,6.16,97.17,Mango
14,34,32,34.13,50.23,4.67,100.57,Mango
18,17,34,37.5,50.08,7.53,95.25,Mango
17,22,34,28.86,52.41,5.35,91.94,Mango
26,24,28,34.6,54.99,6.32,90.77,Mango
16,27,30,28.24,52.37,5.87,84.41,Mango
14,23,29,36.87,50.91,5.13,96.02,Mango
17,29,31,34.83,50.13,7.11,100.15,Mango
15,42,30,28.69,55.16,7.46,94.5,Mango
16,25,32,35.03,51.91,5.88,103.69,Mango
18,34,29,32.49,49.86,5.76,92.44,Mango
28,21,27,37.56,53.13,3.89,91.31,Mango
9,20,20,30.79,46.77,5.85,84.95,Mango
20,24,34,35.43,52.56,5.54,106.61,Mango
10,17,29,37.96,49.59,5.65,86.05,Mango
25,33,32,29.31,48.08,4.77,95.2,Mango
13,18,28,29.73,48.59,6.17,95.17,Mango
18,28,27,31.52,50.65,4.6,100.67,Mango
14,27,33,33.98,50.3,5.51,100.39,Mango
24,22,27,24.98,50.66,5.73,101.52,Mango
22,36,27,34.61,48.61,6.42,85.95,Mango
21,13,29,32.52,48.64,4.96,99.78,Mango
19,23,30,39.11,53.66,6.73,97.31,Mango
20,10,27,29.76,44.58,4.87,82.81,Mango
19,32,33,32.44,47.31,4.25,84.16,Mango
12,20,29,28.16,51.22,5.61,94.76,Mango
26,18,31,31.16,49.2,6.51,99.97,Mango
14,25,30,30.38,51.96,6.02,105.7,Mango
10,26,27,33.01,45.35,6.08,90.92,Mango
15,16,28,34.45,50.12,6.3,104.69,Mango
21,23,31,29.57,48.69,4.58,100.26,Mango
17,28,26,32.51,47.91,5.69,99.97,Mango
24,26,24,40.18,55.44,6.38,90.18,Mango
19,23,33,31.99,47.85,5.42,101.43,Mango
29,37,32,30.44,40.48,6.04,94.69,Mango
20,27,26,32.87,52.1,6.35,100.38,Mango
23,24,29,31.47,50.52,6.6,98.56,Mango
32,42,30,19.69,53.91,5.37,89.89,Mango
17,23,31,26.52,46.97,6.07,98.44,Mango
23,21,27,29.68,50.92,6.99,82.42,Mango
18,17,25,34.1,51.83,6.16,100.23,Mango
17,23,36,30.46,52.41,5.81,83.61,Mango
7,22,33,33.56,52.94,5.01,104.4,Mango
14,28,29,30.68,54.22,5.24,86.6,Mango
20,24,40,33.23,48.97,4.96,83.42,Mango
13,27,34,34.57,50.89,5.54,96.31,Mango
16,39,29,30.94,43.55,5.64,99.72,Mango
13,21,32,26.77,53.37,5.37,92.37,Mango
13,29,37,33.54,47.61,6.71,92.8,Mango
28,32,21,28.19,53.03,5.92,88.56,Mango
16,13,29,37.83,52.61,7.55,99.99,Mango
26,40,31,30.64,53.3,6.96,91.82,Mango
15,27,32,33.59,45.93,7.33,90.85,Mango
18,20,38,31.93,47.65,6.49,99.31,Mango
18,32,27,29.72,44.17,4.74,105.55,Mango
29,27,34,30.72,49.47,5.85,93.95,Mango
18,35,30,33.34,53.29,6.11,88.88,Mango
11,28,29,31.46,50.15,7.87,86.72,Mango
8,29,28,32.15,51.95,6.83,85.66,Mango
16,30,32,37.78,53.07,5.75,89.36,Mango
16,22,31,31.97,46.23,5.45,99.97,Mango
22,30,31,36.08,50.91,5.49,89.21,Mango
21,9,29,30.58,46.11,5.06,99.56,Mango
21,27,30,31.48,53.93,5.9,85.95,Mango
29,29,28,27.44,51.39,5.71,104.14,Mango
17,21,32,33.98,50.71,6.34,94.47,Mango
24,142,202,22.62,84.6,5.29,75.76,Grapes
12,127,199,22.77,83.91,5.68,70.38,Grapes
19,135,199,24.45,80.8,5.85,70.46,Grapes
28,128,196,28.09,81.83,6.25,66.88,Grapes
12,128,196,23.25,80.63,6.22,68.74,Grapes
23,134,200,23.63,82.92,5.76,73.8,Grapes
21,122,200,17.84,83.23,6.66,67.24,Grapes
24,118,201,17.6,80.65,5.67,71.8,Grapes
29,133,196,34.93,80.4,5.35,70.98,Grapes
16,140,198,28.03,84.7,5.64,67.9,Grapes
22,145,197,19.64,82.86,5.83,70.06,Grapes
13,150,194,21.55,81.84,6.57,65.63,Grapes
34,139,201,16.91,83.04,5.78,73.4,Grapes
17,132,197,16.89,83.38,6.16,73.23,Grapes
12,141,210,20.64,85.69,5.92,65.48,Grapes
21,141,196,19.6,83.09,6.0,71.35,Grapes
24,136,198,25.42,80.05,6.39,67.7,Grapes
29,131,200,20.34,79.87,5.48,66.43,Grapes
21,134,204,20.68,80.14,5.57,71.04,Grapes
31,143,202,28.27,85.3,6.1,71.54,Grapes
21,122,197,23.74,82.02,6.58,69.84,Grapes
30,129,198,14.5,80.42,6.16,69.62,Grapes
28,134,198,38.84,81.71,6.35,68.4,Grapes
27,140,200,7.32,81.94,6.37,71.18,Grapes
25,119,197,26.68,82.72,6.36,69.17,Grapes
25,133,196,8.01,82.76,6.05,67.75,Grapes
13,138,198,27.7,85.63,5.36,67.5,Grapes
21,144,193,37.35,82.17,5.97,69.01,Grapes
20,141,195,26.22,81.13,5.77,77.36,Grapes
25,137,204,13.85,85.4,5.25,67.29,Grapes
20,137,200,22.63,81.88,5.71,65.11,Grapes
27,138,206,18.27,83.29,5.91,73.17,Grapes
29,134,198,30.53,83.19,5.79,65.62,Grapes
21,145,204,16.01,79.56,6.38,66.19,Grapes
26,128,206,18.41,84.19,6.06,70.36,Grapes
11,115,199,25.53,79.65,5.67,71.28,Grapes
26,131,203,15.58,81.19,6.49,69.8,Grapes
23,151,194,29.38,85.23,5.9,72.18,Grapes
17,127,201,29.39,84.14,6.47,69.4,Grapes
30,130,203,25.25,82.79,6.13,64.79,Grapes
16,133,193,29.62,83.64,6.1,66.24,Grapes
31,149,200,27.37,82.3,6.16,69.24,Grapes
22,140,209,14.0,81.69,5.65,74.38,Grapes
19,121,202,36.01,83.23,6.06,70.83,Grapes
31,126,199,20.63,79.56,5.9,72.92,Grapes
26,138,200,27.46,80.3,5.91,70.18,Grapes
24,135,199,21.16,88.22,6.27,70.84,Grapes
21,129,199,25.85,78.14,5.53,67.69,Grapes
24,131,205,13.42,80.4,6.46,69.99,Grapes
28,149,197,23.1,81.36,5.41,68.67,Grapes
28,137,202,21.17,80.59,6.38,68.11,Grapes
24,134,205,30.6,79.31,5.64,71.34,Grapes
22,129,204,25.11,82.0,6.23,68.47,Grapes
32,126,202,33.84,79.15,5.9,73.03,Grapes
29,131,197,30.49,84.27,5.65,65.99,Grapes
24,138,198,28.56,80.48,5.37,68.33,Grapes
23,130,195,11.09,80.87,6.27,73.37,Grapes
30,126,195,27.28,83.17,6.12,63.56,Grapes
17,132,201,29.17,82.19,6.1,69.85,Grapes
27,135,200,21.92,82.06,6.15,70.4,Grapes
25,143,201,19.26,83.67,5.59,66.36,Grapes
25,137,195,21.12,80.69,5.85,72.43,Grapes
27,132,197,14.35,84.74,6.18,67.48,Grapes
27,132,198,26.85,80.42,5.9,69.96,Grapes
20,138,207,18.52,78.57,5.4,69.15,Grapes
19,134,200,12.58,78.27,6.09,70.01,Grapes
20,119,201,32.7,82.46,5.75,69.73,Grapes
14,141,200,11.42,81.3,6.14,68.6,Grapes
21,123,202,19.26,77.59,5.89,72.54,Grapes
20,146,201,26.17,81.64,5.98,68.81,Grapes
21,137,196,16.27,79.65,6.61,71.19,Grapes
24,124,202,22.98,82.33,5.71,70.08,Grapes
20,126,202,13.04,83.03,6.21,66.96,Grapes
18,131,201,22.73,82.77,6.53,68.08,Grapes
12,139,206,26.55,79.72,5.96,66.24,Grapes
26,122,198,16.77,82.15,5.89,70.13,Grapes
23,125,202,23.46,79.92,6.67,71.03,Grapes
22,144,207,22.78,82.59,5.7,69.16,Grapes
21,134,201,27.72,82.38,5.64,66.78,Grapes
19,130,204,15.66,81.19,6.29,68.7,Grapes
25,131,201,22.2,83.23,5.54,68.51,Grapes
24,137,205,21.06,84.86,5.8,73.59,Grapes
27,125,201,23.44,83.15,5.93,68.68,Grapes
31,132,203,22.22,85.23,5.8,67.76,Grapes
32,129,206,30.04,81.59,5.46,69.54,Grapes
23,142,206,19.01,83.5,6.23,72.82,Grapes
25,117,199,15.71,81.49,6.29,70.52,Grapes
29,135,194,6.15,82.2,5.94,66.67,Grapes
12,127,199,28.46,82.28,6.48,66.49,Grapes
28,133,202,20.74,84.04,6.09,67.56,Grapes
22,131,201,15.54,81.84,6.12,69.7,Grapes
31,139,199,25.32,82.49,6.12,64.12,Grapes
21,121,205,23.37,81.51,6.27,70.87,Grapes
16,132,198,11.59,80.52,5.94,69.26,Grapes
14,142,199,24.06,82.7,5.76,70.97,Grapes
20,125,202,34.24,83.35,6.28,68.04,Grapes
13,144,208,34.6,81.23,5.65,66.4,Grapes
12,132,206,22.81,82.5,6.41,68.39,Grapes
35,148,199,19.76,83.29,5.9,66.13,Grapes
30,142,200,14.96,79.44,6.03,68.1,Grapes
94,23,52,27.25,82.23,6.4,55.35,Watermelon
104,26,51,27.82,86.82,6.82,48.86,Watermelon
99,22,54,26.48,84.95,6.91,37.65,Watermelon
81,21,50,26.33,85.39,6.67,45.91,Watermelon
105,22,53,28.02,85.93,6.58,41.66,Watermelon
92,15,53,24.87,87.59,6.5,49.74,Watermelon
101,14,48,23.55,84.46,6.36,47.7,Watermelon
104,20,50,26.79,86.93,6.41,48.02,Watermelon
102,20,54,27.03,83.58,6.47,54.83,Watermelon
111,22,49,24.1,82.2,6.58,52.85,Watermelon
85,17,51,24.22,88.51,6.39,58.35,Watermelon
92,10,48,25.49,84.03,6.44,52.8,Watermelon
96,16,44,26.07,84.93,6.98,45.16,Watermelon
77,20,51,24.39,80.61,6.96,59.28,Watermelon
69,14,54,25.03,83.73,6.42,44.07,Watermelon
78,23,44,25.9,87.86,6.06,45.25,Watermelon
113,20,48,27.04,88.82,6.58,45.4,Watermelon
94,18,49,26.73,80.61,6.05,51.89,Watermelon
93,13,44,25.62,85.04,6.7,51.21,Watermelon
97,24,46,26.24,80.19,6.25,43.52,Watermelon
108,16,49,24.27,84.3,6.27,53.1,Watermelon
87,24,44,24.63,90.23,6.37,42.91,Watermelon
101,14,47,24.28,93.51,6.42,39.25,Watermelon
116,20,47,24.48,87.22,6.43,39.24,Watermelon
120,14,54,27.13,82.2,6.81,46.89,Watermelon
76,14,51,25.04,84.28,6.84,51.44,Watermelon
88,21,50,22.57,86.49,6.62,50.92,Watermelon
109,12,51,23.72,86.42,7.09,44.83,Watermelon
89,12,50,24.32,86.46,6.75,54.01,Watermelon
77,22,52,26.6,86.32,6.57,56.99,Watermelon
122,11,53,25.5,84.81,6.04,49.09,Watermelon
87,14,46,25.06,83.98,6.53,41.11,Watermelon
81,19,47,26.89,85.88,6.68,59.26,Watermelon
95,13,52,26.21,84.64,6.92,49.53,Watermelon
99,17,47,25.69,89.39,6.63,50.99,Watermelon
97,18,52,26.33,84.2,6.6,53.68,Watermelon
86,18,43,26.18,87.18,6.72,48.43,Watermelon
102,25,54,25.56,85.62,6.83,41.8,Watermelon
95,25,52,26.04,80.68,6.49,47.26,Watermelon
102,12,46,23.12,88.87,6.38,51.74,Watermelon
98,10,46,24.39,83.03,6.61,46.03,Watermelon
119,23,52,25.46,89.74,6.43,50.61,Watermelon
101,21,51,25.03,83.6,6.69,55.09,Watermelon
94,7,49,26.35,90.62,6.14,48.24,Watermelon
94,25,49,24.51,86.88,6.38,43.45,Watermelon
88,27,51,25.73,84.45,6.59,52.48,Watermelon
102,17,52,25.63,82.27,6.32,38.93,Watermelon
123,22,47,25.26,83.29,6.96,42.28,Watermelon
100,16,52,25.48,79.93,6.42,44.97,Watermelon
99,25,44,24.64,83.54,6.39,55.24,Watermelon
96,19,48,25.88,87.53,6.28,55.49,Watermelon
99,23,49,26.06,85.08,6.47,52.35,Watermelon
105,9,54,23.37,83.15,6.47,53.27,Watermelon
117,5,48,23.05,85.29,6.58,60.34,Watermelon
100,23,51,25.08,80.97,6.58,41.85,Watermelon
114,16,53,25.02,86.01,6.56,50.53,Watermelon
93,19,47,24.15,88.93,6.72,51.2,Watermelon
118,15,53,25.81,82.13,7.05,56.74,Watermelon
97,21,48,26.59,78.03,6.19,56.68,Watermelon
96,18,45,27.82,88.77,6.44,48.37,Watermelon
111,28,52,28.21,82.43,6.25,43.67,Watermelon
104,18,49,26.57,88.9,6.04,47.22,Watermelon
108,14,47,26.82,81.33,6.41,52.77,Watermelon
92,21,48,27.29,84.82,6.7,55.28,Watermelon
91,5,51,25.69,86.87,6.43,48.22,Watermelon
123,8,52,24.91,84.19,6.4,45.98,Watermelon
105,25,51,25.72,82.24,6.66,63.74,Watermelon
94,14,48,25.01,76.96,6.62,45.73,Watermelon
79,21,46,25.19,89.6,6.08,41.6,Watermelon
102,23,45,26.09,86.94,5.88,55.59,Watermelon
109,15,53,26.96,85.51,6.36,44.96,Watermelon
98,20,49,22.96,89.01,6.56,48.52,Watermelon
109,26,41,26.12,80.92,6.65,51.57,Watermelon
106,14,44,25.06,86.42,6.8,43.77,Watermelon
111,13,51,24.99,85.75,6.77,43.44,Watermelon
90,18,57,24.56,91.32,7.1,50.22,Watermelon
95,12,49,23.91,84.97,6.95,47.13,Watermelon
96,6,51,25.92,85.39,6.43,49.04,Watermelon
105,16,50,25.86,88.57,6.7,51.96,Watermelon
117,19,53,26.33,79.67,6.89,51.61,Watermelon
98,18,48,25.87,83.42,6.88,50.12,Watermelon
94,11,50,25.82,86.37,6.19,41.19,Watermelon
106,25,46,27.51,86.05,6.5,48.41,Watermelon
82,22,47,24.66,88.18,5.94,41.66,Watermelon
98,18,51,25.24,92.79,6.43,49.42,Watermelon
89,17,51,27.04,80.73,6.43,53.48,Watermelon
106,17,51,24.63,89.87,6.8,42.73,Watermelon
86,10,52,24.06,84.21,6.64,50.4,Watermelon
102,10,51,24.86,84.23,6.57,51.42,Watermelon
99,12,49,25.6,81.07,6.36,53.13,Watermelon
83,23,53,24.11,89.27,6.46,53.31,Watermelon
93,22,51,24.62,81.7,6.06,51.93,Watermelon
105,20,49,24.21,83.15,6.85,47.89,Watermelon
100,10,51,25.05,88.34,6.73,47.83,Watermelon
97,13,45,24.57,85.79,6.6,51.69,Watermelon
95,22,50,26.44,79.88,5.32,52.5,Watermelon
81,15,49,27.5,86.4,6.55,55.82,Watermelon
103,14,53,24.27,86.17,6.04,52.02,Watermelon
101,27,45,24.88,87.67,6.6,51.88,Watermelon
87,13,53,25.54,86.33,6.47,43.7,Watermelon
111,20,56,27.58,93.53,6.01,25.17,Muskmelon
111,7,49,28.04,91.25,6.52,28.06,Muskmelon
98,19,50,28.6,90.67,6.73,25.59,Muskmelon
104,13,48,28.42,90.0,5.89,22.9,Muskmelon
106,14,46,27.79,91.62,6.29,31.2,Muskmelon
112,23,53,27.6,90.47,6.07,28.7,Muskmelon
93,11,48,28.36,92.7,6.48,22.22,Muskmelon
108,14,49,29.29,91.34,6.23,26.48,Muskmelon
89,16,51,30.65,93.21,6.54,26.29,Muskmelon
87,18,49,28.92,92.47,6.51,23.77,Muskmelon
100,11,49,29.99,92.78,6.39,30.39,Muskmelon
83,12,55,28.65,91.94,6.04,26.04,Muskmelon
106,12,49,28.26,92.68,6.06,28.46,Muskmelon
110,16,49,28.46,91.13,6.27,23.89,Muskmelon
119,22,52,28.97,90.62,6.39,27.61,Muskmelon
84,21,56,29.66,94.42,6.47,27.6,Muskmelon
91,21,51,28.89,94.27,6.24,24.14,Muskmelon
101,12,50,26.88,93.87,6.41,23.14,Muskmelon
89,16,52,29.15,91.24,6.15,26.67,Muskmelon
91,18,50,28.91,93.59,6.02,18.97,Muskmelon
93,27,56,30.43,92.01,5.87,17.67,Muskmelon
92,17,53,29.47,92.64,6.13,21.82,Muskmelon
103,21,51,27.57,93.28,6.53,21.49,Muskmelon
90,21,49,30.19,93.05,6.25,24.67,Muskmelon
100,14,47,29.3,93.57,6.58,29.25,Muskmelon
93,26,47,27.59,89.66,6.27,23.19,Muskmelon
106,19,46,28.21,91.74,5.87,21.76,Muskmelon
90,25,50,29.26,90.05,6.76,28.6,Muskmelon
76,14,51,29.24,91.28,6.31,22.91,Muskmelon
101,23,47,29.6,91.13,6.15,27.16,Muskmelon
111,22,46,28.13,93.53,6.41,21.48,Muskmelon
105,14,55,30.14,93.21,6.81,24.89,Muskmelon
109,25,50,28.34,89.74,6.38,27.17,Muskmelon
111,20,48,26.62,91.56,6.31,23.76,Muskmelon
107,27,50,28.38,91.91,6.44,22.22,Muskmelon
101,20,50,29.06,92.95,5.87,26.61,Muskmelon
91,12,46,29.03,91.97,5.9,26.13,Muskmelon
82,18,50,29.49,94.97,5.99,24.54,Muskmelon
96,20,50,28.25,91.64,6.07,27.66,Muskmelon
105,22,49,27.94,90.68,6.51,21.58,Muskmelon
122,11,50,30.17,93.2,6.45,21.79,Muskmelon
83,21,54,28.16,90.59,5.66,21.76,Muskmelon
98,25,52,28.91,91.7,6.23,28.92,Muskmelon
102,7,47,27.74,91.48,6.57,24.38,Muskmelon
99,24,47,30.46,91.29,6.43,23.86,Muskmelon
101,20,51,27.85,90.62,7.15,23.25,Muskmelon
108,9,49,28.47,93.01,5.58,25.2,Muskmelon
86,19,46,27.74,91.89,6.08,23.27,Muskmelon
85,8,53,27.3,92.03,6.63,22.86,Muskmelon
90,19,53,27.43,92.07,5.88,23.52,Muskmelon
100,13,48,27.19,92.42,6.72,21.41,Muskmelon
92,20,53,27.11,92.05,6.48,24.39,Muskmelon
70,20,54,28.72,90.75,6.25,30.01,Muskmelon
110,21,51,27.94,92.0,6.38,26.35,Muskmelon
118,23,45,28.82,93.41,6.59,22.81,Muskmelon
134,11,46,28.83,95.48,6.15,23.9,Muskmelon
112,17,48,29.17,92.71,6.71,28.57,Muskmelon
103,19,50,29.09,92.38,6.4,28.29,Muskmelon
118,10,50,27.91,91.83,6.52,26.71,Muskmelon
98,8,47,29.5,88.19,6.76,26.26,Muskmelon
115,17,43,29.03,94.21,6.68,22.71,Muskmelon
101,15,47,29.56,90.5,6.13,21.39,Muskmelon
82,18,53,28.42,90.04,6.65,29.76,Muskmelon
92,15,51,30.22,91.52,6.0,26.59,Muskmelon
109,18,48,29.59,93.09,6.17,24.85,Muskmelon
83,21,49,28.16,92.25,6.41,27.38,Muskmelon
107,17,52,29.0,91.66,6.36,24.26,Muskmelon
106,16,48,30.57,93.71,6.17,26.41,Muskmelon
101,19,50,29.79,92.82,6.38,27.83,Muskmelon
102,18,50,28.51,92.31,6.22,22.45,Muskmelon
88,11,47,28.43,92.45,6.32,17.63,Muskmelon
118,23,51,30.51,90.83,6.97,21.8,Muskmelon
102,11,50,28.99,92.07,6.61,25.0,Muskmelon
93,15,52,27.95,93.67,6.77,19.69,Muskmelon
113,28,50,29.2,93.86,6.32,25.25,Muskmelon
84,18,51,29.12,93.9,6.17,23.1,Muskmelon
122,17,50,28.53,91.07,6.89,23.12,Muskmelon
86,15,43,27.95,90.85,6.59,22.68,Muskmelon
110,24,52,28.38,92.51,5.94,24.3,Muskmelon
89,21,57,29.1,89.31,6.29,25.07,Muskmelon
101,14,50,27.36,90.88,6.59,21.65,Muskmelon
106,11,55,27.83,91.96,6.5,23.0,Muskmelon
101,20,52,29.39,92.04,6.36,31.75,Muskmelon
111,13,50,28.26,92.1,6.03,23.46,Muskmelon
121,20,42,29.82,93.93,6.29,26.85,Muskmelon
89,15,54,28.33,89.5,6.38,24.46,Muskmelon
114,18,48,29.65,92.48,6.17,28.16,Muskmelon
102,18,50,27.53,91.51,6.4,24.12,Muskmelon
115,19,52,28.61,93.88,6.52,24.74,Muskmelon
99,13,51,28.56,91.55,6.73,20.95,Muskmelon
94,23,50,28.55,92.68,6.45,20.15,Muskmelon
95,26,48,28.28,91.49,6.37,22.95,Muskmelon
105,18,52,27.55,91.79,6.33,26.07,Muskmelon
90,22,53,27.61,91.56,6.24,32.6,Muskmelon
94,26,46,27.61,91.27,6.15,23.9,Muskmelon
91,13,53,29.82,93.72,6.56,24.98,Muskmelon
94,13,51,27.43,90.81,6.75,30.4,Muskmelon
104,23,49,27.26,93.22,6.57,24.92,Muskmelon
97,22,47,27.83,90.79,6.43,21.44,Muskmelon
91,14,49,27.11,92.43,6.77,25.11,Muskmelon
30,144,203,22.69,92.33,6.13,109.57,Apple
9,137,195,21.45,92.3,5.87,101.4,Apple
21,141,195,24.13,89.96,6.54,109.41,Apple
